"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP410","C/EO Assistant Information Officer (London Inner)","31273","34777","Communications","2.60","Communications"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP410","D/HEO Information Officer (London Inner)","37061","40678","Communications","9.89","Communications"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP410","D/HEO Information Officer (National)","32998","36623","Communications","2.00","Communications"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP410","E/SEO (London Inner)","36852","42841","Communications Manager","1.00","Communications"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP410","E/SEO Senior Information Officer (London Inner)","41730","51920","Communications Manager","6.81","Communications"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP410","E/SEO Senior Information Officer (National)","37664","47189","Communications Manager","2.00","Communications"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP410","F/G7 (London Inner)","50476","61530","Senior Press Officer","2.00","Communications"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP410","F/G7 Communications (London Inner)","52389","63918","Senior Press Officer","3.81","Communications"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP158","A/AA (London Inner)","20235","20235","Communications Support Officer","1.00","Communications"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP158","B/AO (London Inner)","22649","23457","Communications Support Officer","2.00","Communications"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP158","B/AO (London Inner)","22649","23457","Correspondence Manager","5.83","Other"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP158","B/AO (National)","18478","19983","Correspondence Manager","6.00","Other"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP158","B/AO Personal Secretary (London Inner)","22649","23457","Correspondence Manager","1.00","Other"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP158","C/EO (London Inner)","27485","30195","Correspondence Manager","17.44","Other"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP158","C/EO (London Inner)","27485","30195","Executive Assistant","3.97","Communications"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP158","C/EO (National)","24476","26061","Communications","1.00","Communications"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP158","C/EO (National)","24476","26061","Correspondence Manager","59.42","Other"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP158","C/EO Assistant Information Officer (London Inner)","31273","34777","Communications","4.00","Communications"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP158","C/EO Assistant Information Officer (National)","27227","31267","Communications","2.52","Communications"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP158","C/EO Legacy (National)","22312","25358","Correspondence Manager","2.57","Other"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP158","D/HEO (London Inner)","32430","36478","Communications","3.00","Communications"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP158","D/HEO (London Inner)","32430","36478","Correspondence Manager","5.00","Other"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP158","D/HEO (National)","28307","32239","Communications","2.00","Communications"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP158","D/HEO (National)","28307","32239","Correspondence Manager","26.31","Other"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP158","D/HEO Information Officer (London Inner)","37061","40678","Communications Manager","14.00","Communications"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP158","D/HEO Information Officer (National)","32998","36623","Communications Manager","15.13","Communications"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP158","D/HEO Information Officer Legacy (London Inner)","33785","39126","Communications Manager","0.50","Communications"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP158","E/SEO (London Inner)","36852","42841","Directors Office","2.00","Communications"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP158","E/SEO (London Inner)","36852","42841","Senior Correspondence Manager","2.00","Other"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP158","E/SEO (National)","32566","38700","Business Manager","2.00","Communications"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP158","E/SEO (National)","32566","38700","Senior Correspondence Manager","3.50","Other"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP158","E/SEO Senior Information Officer (London Inner)","41730","51920","Communications Manager","13.72","Communications"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP158","E/SEO Senior Information Officer (National)","37664","47189","Communications Manager","14.13","Communications"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP158","E/SEO Senior Statistical Officer (London Inner)","36852","42871","Communications Manager","1.00","Communications"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP158","F/G7 (London Inner)","50476","61530","Manager Directors Office","1.00","Communications"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP158","F/G7 (National)","45905","56707","Senior Correspondence Manager","2.00","Other"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP158","F/G7 Communications (London Inner)","52389","63918","Communications Manager","7.56","Communications"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP158","F/G7 Communications (National)","47748","58959","Communications Manager","8.75","Communications"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP158","F/G7 Principal Statistician (London Inner)","53424","64893","Analyst","1.00","Statisticians"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP158","G/G6 (London Inner)","61852","74957","Communications Manager","2.83","Communications"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP158","G/G6 (London Inner)","61852","74957","Senior Correspondence Manager","0.67","Other"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP158","G/G6 Communications (London Inner)","61867","74972","Communications Manager","2.00","Communications"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP158","G/G6 Communications (National)","56721","69422","Communications Manager","2.00","Communications"
"Department for Work and Pensions","Department for Work and Pensions","Communications","DWP158","C/EO (National)","24476","26061","Correspondence Manager","38.79","Other"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP82","B/AO (London Inner)","22649","23457","Delivery Management Team","2.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP82","B/AO (National)","18478","19983","Delivery Management Team","1.29","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP82","B/AO Legacy (London Other)","19503","22302","Delivery Management Team","1.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP82","B/AO Legacy (National)","16845","19583","Assurance","1.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP82","C/EO (London Inner)","27485","30195","Delivery Management Team","2.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP82","C/EO (National)","24476","26061","Assurance","1.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP82","C/EO (National)","24476","26061","Delivery Management Team","10.69","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP82","D/HEO (London Inner)","32430","36478","Delivery Management Team","4.97","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP82","D/HEO (National)","28307","32239","Delivery Management Team","21.48","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP82","E/SEO (London Inner)","36852","42841","Delivery Management Team","2.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP82","E/SEO (National)","32566","38700","Delivery Management Team","6.92","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP82","F/G7 (London Inner)","50476","61530","Delivery Management Team","3.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP82","F/G7 (National)","45905","56707","Delivery Management Team","9.50","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP82","G/G6 (London Inner)","61852","74957","Delivery Management Team","3.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP82","G/G6 (National)","56706","69407","Delivery Management Team","3.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP455","B/AO (National)","18478","19983","Finance Officer","63.30","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP455","B/AO (National)","18478","19983","Finance Support Officer","1.95","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP455","B/AO Legacy (National)","16845","19583","Finance Officer","29.14","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP455","C/EO (London Inner)","27485","30195","Directors Office","1.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP455","C/EO (London Other)","25914","29580","Delivery Management Team","1.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP455","C/EO (National)","24476","26061","Delivery Management Team","5.82","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP455","C/EO (National)","24476","26061","Finance Officer","28.10","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP455","C/EO (National)","24476","26061","Finance Support Officer","71.76","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP455","C/EO Legacy (National)","22312","25358","Finance Officer","0.91","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP455","C/EO Legacy (National)","22312","25358","Finance Support Officer","5.35","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP455","D/HEO (London Inner)","32430","36478","Delivery Management Team","1.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP455","D/HEO (London Other)","31079","35865","Delivery Management Team","1.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP455","D/HEO (National)","28307","32239","Delivery Management Team","30.78","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP455","D/HEO (National)","28307","32239","Finance Officer","114.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP455","D/HEO (Spec Loc Pay Zone)","28307","33914","Delivery Management Team","2.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP455","D/HEO Accountant (Qualified) (National)","28307","32239","Finance Officer","1.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP455","D/HEO FS Economic Assistant (London Inner)","28131","39918","Delivery Management Team","0.80","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP455","D/HEO FS Economic Assistant (National)","28131","39918","Delivery Management Team","1.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP455","D/HEO Legacy (National)","25805","31186","Finance Officer","1.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP455","E/SEO (London Inner)","36852","42841","Delivery Management Team","1.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP455","E/SEO (London Inner)","36852","42841","Directors Office","1.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP455","E/SEO (London Other)","35952","41594","Delivery Management Team","1.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP455","E/SEO (National)","32566","38700","Delivery Management Team","13.96","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP455","E/SEO (National)","32566","38700","Finance Officer","43.27","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP455","E/SEO (National)","32566","38700","Senior Finance  Manager","2.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP455","E/SEO Accountant (Qualified) (National)","39159","45537","Finance Officer","16.84","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP455","E/SEO Auditor MIIA (National)","39189","45567","Finance Officer","1.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP455","F/G7 (London Inner)","50476","61530","Correspondence Manager","1.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP455","F/G7 (London Inner)","50476","61530","Delivery Management Team","2.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP455","F/G7 (National)","45905","56707","Delivery Management Team","3.99","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP455","F/G7 (National)","45905","56707","Senior Finance  Manager","20.08","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP455","F/G7 (Spec Loc Pay Zone)","48728","59879","Delivery Management Team","1.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP455","F/G7 Accountant (Qualified) (London Inner)","54449","65408","Senior Finance  Manager","2.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP455","F/G7 Accountant (Qualified) (National)","49248","60257","Senior Finance  Manager","18.36","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP455","F/G7 Auditor MIIA (National)","49288","60297","Senior Finance  Manager","0.49","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP455","F/G7 Principal Economist (National)","48677","59848","Delivery Management Team","1.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP455","G/G6 (National)","56706","69407","Delivery Management Team","1.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP455","G/G6 (National)","56706","69407","Senior Finance  Manager","1.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP455","G/G6 Accountant (Qualified) (National)","62634","72588","Senior Finance  Manager","9.56","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP34","B/AO (London Inner)","22649","23457","Programme Support Officer","1.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP34","B/AO (National)","18478","19983","Programme Support Officer","0.91","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP34","C/EO (London Inner)","27485","30195","Programme Support Officer","1.64","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP34","C/EO (National)","24476","26061","Programme Support Officer","11.76","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP34","D/HEO (London Inner)","32430","36478","Programme Manager","9.80","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP34","D/HEO (London Other)","31079","35865","Programme Manager","1.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP34","D/HEO (National)","28307","32239","Programme Manager","20.22","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP34","D/HEO FS Economic Assistant (London Inner)","28131","39918","Programme Manager","1.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP34","E/SEO (London Inner)","36852","42841","Operational Manager","2.45","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP34","E/SEO (London Other)","35952","41594","Operational Manager","0.44","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP34","E/SEO (National)","32566","38700","Operational Manager","28.55","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP34","F/G7 (London Inner)","50476","61530","Operational Manager","5.40","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP34","F/G7 (National)","45905","56707","Operational Manager","7.99","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP34","F/G7 Accountant (Qualified) (National)","49248","60257","Senior Finance  Manager","1.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP34","F/G7 Principal Economist (National)","48677","59848","Programme Manager","0.85","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP34","G/G6 (London Inner)","61852","74957","Senior Operational Manager","1.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP34","G/G6 (National)","56706","69407","Senior Operational Manager","2.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP514","B/AO (National)","18478","19983","Delivery Management Team","1.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP514","C/EO (London Inner)","27485","30195","Delivery Management Team","4.29","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP514","C/EO (London Other)","25914","29580","Delivery Management Team","1.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP514","C/EO (National)","24476","26061","Delivery Management Team","12.86","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP514","C/EO Legacy (National)","22312","25358","Delivery Management Team","1.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP514","D/HEO (London Inner)","32430","36478","Delivery Management Team","8.78","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP514","D/HEO (National)","28307","32239","Delivery Management Team","30.28","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP514","D/HEO (Spec Loc Pay Zone)","28307","33914","Delivery Management Team","1.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP514","D/HEO Legacy (National)","25805","31186","Delivery Management Team","2.49","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP514","D/HEO Legacy (Spec Loc Pay Zone)","27785","33347","Delivery Management Team","1.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP514","E/SEO (London Inner)","36852","42841","Delivery Management Team","4.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP514","E/SEO (National)","32566","38700","Delivery Management Team","6.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP514","F/G7 (London Inner)","50476","61530","Delivery Management Team","2.75","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP514","F/G7 (London Other)","49309","60379","Delivery Management Team","1.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP514","F/G7 (National)","45905","56707","Delivery Management Team","5.69","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP514","G/G6 (National)","56706","69407","Delivery Management Team","2.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP307","B/AO (National)","18478","19983","Assurance","54.86","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP307","B/AO Legacy (National)","16845","19583","Assurance","1.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP307","C/EO (London Inner)","27485","30195","Assurance","1.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP307","C/EO (London Other)","25914","29580","Assurance","0.82","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP307","C/EO (National)","24476","26061","Assurance","26.23","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP307","C/EO Legacy (National)","22312","25358","Assurance","4.26","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP307","C/EO Scientific Officer (National)","24476","31267","Analyst","2.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP307","C/EO Statistical Officer (National)","24476","26061","Analyst","1.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP307","D/HEO (London Inner)","32430","36478","Assurance","10.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP307","D/HEO (London Other)","31079","35865","Assurance","1.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP307","D/HEO (National)","28307","32239","Assurance","52.26","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP307","D/HEO FS Economic Assistant (London Inner)","28131","39918","Analyst","1.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP307","D/HEO Higher Scientific Officer (London Inner)","32431","40678","Analyst","1.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP307","D/HEO Higher Scientific Officer (National)","28307","36623","Analyst","1.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP307","D/HEO Legacy (National)","25805","31186","Assurance","2.73","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP307","E/SEO (London Inner)","36852","42841","Assurance","3.69","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP307","E/SEO (London Other)","35952","41594","Assurance","1.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP307","E/SEO (National)","32566","38700","Assurance","23.41","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP307","E/SEO (Spec Loc Pay Zone)","34668","41104","Assurance","1.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP307","E/SEO Senior Scientific Officer (National)","32566","43583","Analyst","2.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP307","F/G7 (London Other)","49309","60379","Assurance","1.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP307","F/G7 (National)","45905","56707","Assurance","12.78","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP307","F/G7 Principal Scientific Officer (National)","48682","59853","Analyst","2.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP307","F/G7 Principal Statistician (National)","48682","59853","Analyst","2.89","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP307","G/G6 (National)","56706","69407","Senior Operational Manager","1.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP307","G/G6 Senior Principal Scientific Officer (National)","61887","71750","Senior Analyst","1.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP456","B/AO (London Inner)","22649","23457","Finance Support Officer","2.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP456","B/AO (National)","18478","19983","Finance Support Officer","4.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP456","C/EO (London Inner)","27485","30195","Finance Support Officer","4.70","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP456","C/EO (National)","24476","26061","Finance Support Officer","2.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP456","C/EO Scientific Officer (National)","24476","31267","Analyst","1.60","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP456","D/HEO (London Inner)","32430","36478","Finance Officer","9.03","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP456","D/HEO (National)","28307","32239","Finance Officer","16.76","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP456","D/HEO Economics Officer (National)","28307","32239","Analyst","1.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP456","D/HEO FS Assistant Statistician (National)","28131","39918","Analyst","1.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP456","D/HEO FS Economic Assistant (National)","28131","39918","Analyst","1.54","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP456","D/HEO FS HEO (D) (London Inner)","28131","39918","Finance Officer","1.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP456","D/HEO FS HEO (D) (National)","28131","39918","Finance Officer","2.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP456","D/HEO Higher Scientific Officer (London Inner)","32431","40678","Analyst","1.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP456","D/HEO Higher Scientific Officer (National)","28307","36623","Analyst","2.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP456","D/HEO Information Officer (National)","32998","36623","Finance Officer","1.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP456","D/HEO Information Officer Legacy (National)","30081","35428","Finance Officer","1.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP456","E/SEO (London Inner)","36852","42841","Finance Officer","11.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP456","E/SEO (National)","32566","38700","Finance Officer","16.60","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP456","E/SEO Accountant (Qualified) (London Inner)","44770","50229","Finance Officer","1.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP456","E/SEO Accountant (Qualified) (National)","39159","45537","Finance Officer","5.42","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP456","E/SEO Senior Scientific Officer (National)","32566","43583","Analyst","1.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP456","E/SEO Senior Statistical Officer (London Inner)","36852","42871","Analyst","0.98","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP456","F/G7 (London Inner)","50476","61530","Finance Officer","8.80","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP456","F/G7 (National)","45905","56707","Finance Officer","5.61","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP456","F/G7 Accountant (Qualified) (London Inner)","54449","65408","Finance Officer","1.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP456","F/G7 Accountant (Qualified) (National)","49248","60257","Finance Officer","3.56","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP456","F/G7 Auditor MIIA (National)","49288","60297","Finance Officer","1.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP456","F/G7 Principal Economist (London Inner)","53419","64888","Analyst","1.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP456","F/G7 Principal Economist (National)","48677","59848","Analyst","3.60","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP456","F/G7 Principal Scientific Officer (National)","48682","59853","Analyst","5.58","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP456","G/G6 (London Inner)","61852","74957","Senior Finance  Manager","6.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP456","G/G6 (National)","56706","69407","Senior Finance  Manager","4.78","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP456","G/G6 Accountant (Qualified) (London Inner)","68144","78334","Senior Finance  Manager","1.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP456","G/G6 Accountant (Qualified) (National)","62634","72588","Senior Finance  Manager","1.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP456","G/G6 Senior Principal Economist (London Inner)","67810","77491","Analyst","0.70","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP456","G/G6 Senior Principal Economist (National)","61957","71820","Analyst","1.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP456","G/G6 Senior Principal Scientific Officer (London Inner)","67740","77421","Analyst","1.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP305","B/AO (National)","18478","19983","Diary Manager","14.19","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP305","B/AO (National)","18478","19983","Team Member","2.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP305","B/AO Legacy (National)","16845","19583","Diary Manager","4.35","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP305","B/AO Personal Secretary (National)","18478","19983","Team Member","0.82","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP305","C/EO (London Inner)","27485","30195","Business Support Manager","3.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Finance Group","DWP305","C/EO (London Inner)","27485","30195","Team Member","2.00","Finance"
