853225,LS9 9BY,53.796245783038700,-1.509534246976790
853226,LS9 9BZ,53.795431000000000,-1.510030000000000
853227,LS9 9DA,53.795361952658500,-1.508800684268860
853228,LS9 9DB,53.795811644815500,-1.508871338435820
853229,LS9 9DD,53.795462928300800,-1.509315660174240
853230,LS9 9DE,53.795900464561000,-1.508612221071360
853231,LS9 9DF,53.797112861552100,-1.508370331891550
853232,LS9 9DG,53.797463441171300,-1.508381415642760
853233,LS9 9DH,53.796200628149800,-1.507287941185960
853234,LS9 9DJ,53.796793063300100,-1.507098822830770
853235,LS9 9DL,53.797921436857300,-1.508284970534970
853236,LS9 9DN,53.799271837980800,-1.506629481472370
853237,LS9 9DP,53.796945291621500,-1.506960404700770
853238,LS9 9DQ,53.796336128103900,-1.507453348712580
853239,LS9 9DR,53.797193823884100,-1.506198408262820
853240,LS9 9DS,53.798134026978300,-1.507523385113690
853241,LS9 9DT,53.798301299679100,-1.506671231076340
853242,LS9 9DU,53.797472000000000,-1.505831000000000
853243,LS9 9DW,53.798046000000000,-1.507737000000000
853244,LS9 9DX,53.796947719179300,-1.505366311291420
853245,LS9 9DY,53.797568991222900,-1.505632277010750
853246,LS9 9DZ,53.798390301920700,-1.506457637789860
853247,LS9 9EA,53.799761094720700,-1.505393952130440
853248,LS9 9EB,53.799990000000000,-1.503994000000000
853249,LS9 9ED,53.800263792084900,-1.503065075969160
853250,LS9 9EE,53.801156879518200,-1.497376044646280
853251,LS9 9EF,53.800260152818800,-1.497872611168600
853252,LS9 9EG,53.796077065020700,-1.499152234063390
853253,LS9 9EH,53.796987220624200,-1.499718296094570
853254,LS9 9EJ,53.797693248795600,-1.500499000000000
853255,LS9 9EN,53.796671121546300,-1.501513470059170
853256,LS9 9EP,53.798257352181000,-1.502557412373320
853257,LS9 9EQ,53.796454544859600,-1.499147739001340
853258,LS9 9ER,53.799501353123900,-1.503438465148370
853259,LS9 9ES,53.798323095602700,-1.503239827914930
853260,LS9 9ET,53.799887569293400,-1.503373174321070
853261,LS9 9EU,53.799442268475200,-1.504365293672850
853262,LS9 9EX,53.799730749939600,-1.504574449859150
853263,LS9 9EY,53.799344595751600,-1.504654911099530
853264,LS9 9EZ,53.797366000000000,-1.504022131016610
853265,LS9 9HA,53.797263624715800,-1.503510430326480
853266,LS9 9HB,53.798556440833000,-1.505332208851600
853267,LS9 9HD,53.796497899945400,-1.505265331453460
853268,LS9 9HE,53.798438975843100,-1.505181769368250
853269,LS9 9HF,53.798893046674300,-1.506315097450930
853271,LS9 9HH,53.795626508176600,-1.518634940194220
853272,LS9 9HJ,53.795918222391900,-1.517417106416370
853273,LS9 9HN,53.794854970968400,-1.518992928229130
853274,LS9 9HQ,53.795285830117700,-1.518851372441150
853275,LS9 9HS,53.794403518730100,-1.518481948830510
853276,LS9 9HW,53.792467083574900,-1.515255606318510
853277,LS9 9JB,53.795334819232000,-1.517621152651470
853278,LS9 9JD,53.793168000000000,-1.514944000000000
853279,LS9 9JE,53.794973909490300,-1.517610000000000
853325,LS9 9JF,53.795097475604600,-1.516713020836650
853326,LS9 9JG,53.794570320366100,-1.517493293590230
853327,LS9 9JH,53.793811485393500,-1.514314107312860
853328,LS9 9JJ,53.794931658666900,-1.515712990847500
853329,LS9 9JL,53.794618561099200,-1.516080933018150
853330,LS9 9JN,53.794929513162700,-1.515181686296960
853331,LS9 9JP,53.794629974871400,-1.514456463838060
853332,LS9 9JQ,53.794863185451900,-1.516563904649100
853333,LS9 9JT,53.793554710885000,-1.515273433491940
853334,LS9 9JU,53.793998750629900,-1.513947613066270
853335,LS9 9JW,53.794883286538100,-1.514863421903390
853336,LS9 9JX,53.793436644749700,-1.514971188068140
853337,LS9 9JY,53.793355000000000,-1.514548545195780
853338,LS9 9JZ,53.793549553137200,-1.513998344531460
853339,LS9 9LA,53.793029000000000,-1.514020000000000
853340,LS9 9LB,53.793654943964000,-1.513389911804510
853341,LS9 9LD,53.794957350914600,-1.513177493670090
853342,LS9 9LF,53.797494840961200,-1.518340285575050
853343,LS9 9LH,53.796141126111200,-1.514742644907500
853344,LS9 9LJ,53.796875716509200,-1.514142089648090
853345,LS9 9LN,53.797541905372300,-1.512191125943620
853346,LS9 9LP,53.797089000000000,-1.513274000000000
853347,LS9 9LR,53.797042543725900,-1.513168540095150
853348,LS9 9LS,53.797387139813800,-1.511707105743220
853349,LS9 9LT,53.797359991587300,-1.511661875781160
853350,LS9 9LU,53.796829474228200,-1.511607309369000
853351,LS9 9LW,53.796902249097400,-1.514035512307590
853352,LS9 9LX,53.796961000000000,-1.510543000000000
853353,LS9 9LY,53.796577326190100,-1.511488785814820
853354,LS9 9LZ,53.796342844180100,-1.511294151694050
853355,LS9 9NA,53.796271190418800,-1.511355709545190
853356,LS9 9NB,53.795967000000000,-1.511541000000000
853357,LS9 9ND,53.795705896642500,-1.511589993640860
853358,LS9 9NE,53.795145324038100,-1.510776733349600
853359,LS9 9NF,53.794584000000000,-1.511679000000000
853360,LS9 9NG,53.793152610247300,-1.509221168655890
853361,LS9 9NH,53.792627396135300,-1.512673158035410
853362,LS9 9NJ,53.792836699431400,-1.513308296710950
853363,LS9 9NL,53.793255544171900,-1.512422997177060
853364,LS9 9NN,53.793371581434300,-1.512224308599610
853365,LS9 9NP,53.793737233965000,-1.511521769757740
853366,LS9 9NQ,53.793063531975100,-1.511620674077760
853367,LS9 9NR,53.794806391701400,-1.511418268795380
853368,LS9 9NS,53.795903453167300,-1.513758609701850
853369,LS9 9NT,53.797409000000000,-1.514591000000000
