start_time,heart_rate
2020-10-08T12:30:19Z,174
2020-10-08T12:30:29Z,176
2020-10-08T12:30:38Z,176
2020-10-08T12:30:48Z,172
2020-10-08T12:30:58Z,167
2020-10-08T12:31:09Z,165
2020-10-08T12:31:19Z,164
2020-10-08T12:31:29Z,161
2020-10-08T12:31:39Z,158
2020-10-08T12:31:49Z,157
2020-10-08T12:31:59Z,155
2020-10-08T12:32:09Z,155
2020-10-08T12:32:19Z,154
2020-10-08T12:32:28Z,155
