Member_of_the_58th_Parliament_of_the_United_Kingdom,Member_of_the_58th_Parliament_of_the_United_KingdomLabel,date_of_birth
http://www.wikidata.org/entity/Q392064,Lilian Greenwood,1966-03-26T00:00:00Z
http://www.wikidata.org/entity/Q392101,Nia Griffith,1956-12-04T00:00:00Z
http://www.wikidata.org/entity/Q392216,Andrew Gwynne,1974-06-04T00:00:00Z
http://www.wikidata.org/entity/Q392375,Robert Halfon,1969-03-22T00:00:00Z
http://www.wikidata.org/entity/Q393751,Alec Shelbrooke,1976-01-10T00:00:00Z
http://www.wikidata.org/entity/Q441532,Vicky Ford,1967-09-21T00:00:00Z
http://www.wikidata.org/entity/Q450298,Alyn Smith,1973-09-15T00:00:00Z
http://www.wikidata.org/entity/Q477464,Barry Sheerman,1940-08-17T00:00:00Z
http://www.wikidata.org/entity/Q478161,Matt Hancock,1978-10-02T00:00:00Z
http://www.wikidata.org/entity/Q478227,Greg Hands,1965-11-14T00:00:00Z
http://www.wikidata.org/entity/Q478276,Mark Harper,1970-02-26T00:00:00Z
http://www.wikidata.org/entity/Q478305,Rebecca Harris,1967-12-22T00:00:00Z
http://www.wikidata.org/entity/Q478345,Simon Hart,1963-08-15T00:00:00Z
http://www.wikidata.org/entity/Q478387,Virendra Sharma,1947-04-05T00:00:00Z
http://www.wikidata.org/entity/Q478531,Alok Sharma,1967-09-07T00:00:00Z
http://www.wikidata.org/entity/Q478596,Grant Shapps,1968-09-14T00:00:00Z
http://www.wikidata.org/entity/Q478686,John Hayes,1958-06-23T00:00:00Z
http://www.wikidata.org/entity/Q478702,Jim Shannon,1955-03-25T00:00:00Z
http://www.wikidata.org/entity/Q478711,Oliver Heald,1954-12-15T00:00:00Z
http://www.wikidata.org/entity/Q478714,Andrew Selous,1962-04-27T00:00:00Z
http://www.wikidata.org/entity/Q479064,David Rutley,1961-03-07T00:00:00Z
http://www.wikidata.org/entity/Q480092,Andrew Rosindell,1966-03-17T00:00:00Z
http://www.wikidata.org/entity/Q480148,Laurence Robertson,1958-03-29T00:00:00Z
http://www.wikidata.org/entity/Q501926,Jonathan Reynolds,1980-08-28T00:00:00Z
http://www.wikidata.org/entity/Q534727,David Lammy,1972-07-19T00:00:00Z
http://www.wikidata.org/entity/Q574896,Rachel Reeves,1979-02-13T00:00:00Z
http://www.wikidata.org/entity/Q9670,Caroline Lucas,1960-12-09T00:00:00Z
http://www.wikidata.org/entity/Q153454,Diane Abbott,1953-09-27T00:00:00Z
http://www.wikidata.org/entity/Q180589,Boris Johnson,1964-06-19T00:00:00Z
http://www.wikidata.org/entity/Q197894,Owen Paterson,1956-06-24T00:00:00Z
http://www.wikidata.org/entity/Q216594,Ed Miliband,1969-12-24T00:00:00Z
http://www.wikidata.org/entity/Q232639,Margaret Beckett,1943-01-15T00:00:00Z
http://www.wikidata.org/entity/Q234182,Harriet Harman,1950-07-30T00:00:00Z
http://www.wikidata.org/entity/Q258088,Debbie Abrahams,1960-09-15T00:00:00Z
http://www.wikidata.org/entity/Q258292,Nigel Adams,1966-11-30T00:00:00Z
http://www.wikidata.org/entity/Q258473,Adam Afriyie,1965-08-04T00:00:00Z
http://www.wikidata.org/entity/Q258586,Nadine Dorries,1957-05-21T00:00:00Z
http://www.wikidata.org/entity/Q258963,Peter Aldous,1961-08-26T00:00:00Z
http://www.wikidata.org/entity/Q259361,Nadhim Zahawi,1967-06-02T00:00:00Z
http://www.wikidata.org/entity/Q259423,Rushanara Ali,1975-03-14T00:00:00Z
http://www.wikidata.org/entity/Q259646,David Amess,1952-03-26T00:00:00Z
http://www.wikidata.org/entity/Q259707,Stuart Andrew,1971-11-25T00:00:00Z
http://www.wikidata.org/entity/Q259895,Jon Ashworth,1978-10-14T00:00:00Z
http://www.wikidata.org/entity/Q260111,Steve Baker,1971-06-06T00:00:00Z
http://www.wikidata.org/entity/Q260429,Harriett Baldwin,1960-05-02T00:00:00Z
http://www.wikidata.org/entity/Q260489,Jeremy Wright,1972-10-24T00:00:00Z
http://www.wikidata.org/entity/Q260546,Stephen Barclay,1972-05-03T00:00:00Z
http://www.wikidata.org/entity/Q261675,Pete Wishart,1962-03-09T00:00:00Z
http://www.wikidata.org/entity/Q261773,Rosie Winterton,1958-08-10T00:00:00Z
